latitude,longitude,location_area,number_of_rooms,area,rent,floor,has_elevator,has_fireplace,has_outside,sold_price,adress
59.33091151,18.00570682,Fredhäll,2,34,"2,172",2,no,,,3180000,Adlerbethsgatan 15
59.33091151,18.00570682,Fredhäll,1.5,34,"2,259",2,no,,,3240000,Adlerbethsgatan 15
59.33091151,18.00570682,Fredhäll,1,34,"2,259",3,no,no,no,3200000,Adlerbethsgatan 15
59.33091151,18.00570682,Fredhäll,2,34,"2,259",3,no,no,no,3250000,Adlerbethsgatan 15
59.33091151,18.00570682,Fredhäll,2,47,"3,078",3,no,,yes,4710000,Adlerbethsgatan 15
59.33091151,18.00570682,Fredhäll,2,45,"2,835",4,no,no,no,3400000,Adlerbethsgatan 15
59.33091151,18.00570682,Fredhäll,1.5,34,,,no,,,3100000,Adlerbethsgatan 15
59.33102597,18.00506418,Fredhäll,2,34,"2,190",1,no,no,no,3125000,Adlerbethsgatan 17
59.33102597,18.00506418,Fredhäll,2,43,"2,739",1,no,,yes,3800000,Adlerbethsgatan 17
59.33102597,18.00506418,Fredhäll,1.5,34,"2,172",2,no,no,no,3400000,Adlerbethsgatan 17
59.33102597,18.00506418,Fredhäll,2,34,"2,259",3,no,no,no,3275000,Adlerbethsgatan 17
59.3378074,18.06252341,Norrmalm,3,81,"4,718",2,yes,no,yes,9450000,Adolf Fredriks Kyrkogata 3
59.3378074,18.06252341,Norrmalm,3,81,"4,718",3,yes,,yes,9300000,Adolf Fredriks Kyrkogata 3
59.3378074,18.06252341,Norrmalm,3,92,"5,358",4,yes,,yes,10500000,Adolf Fredriks Kyrkogata 3
59.3378074,18.06252341,Norrmalm,2,53,"3,087",6,yes,no,yes,6250000,Adolf Fredriks Kyrkogata 3
59.3378074,18.06252341,Norrmalm,3,92,"5,358",7,yes,,yes,11300000,Adolf Fredriks Kyrkogata 3
59.3378074,18.06252341,Norrmalm,2.5,61,"3,553",8,yes,no,yes,7300000,Adolf Fredriks Kyrkogata 3
59.3378074,18.06252341,Norrmalm,3,81,"4,718",8,yes,no,yes,10100000,Adolf Fredriks Kyrkogata 3
59.333755,18.08755,Östermalm,2,62,,5,yes,yes,yes,10000000,Adress saknas
59.35448423,18.0963663,Hjorthagen,2,44.2,"3,723",3,no,no,no,3500000,Ahlsellvägen 10
59.35484617,18.09541158,Hjorthagen,2,44.2,"4,170",1,no,no,no,3550000,Ahlsellvägen 16
59.35486086,18.09521137,Hjorthagen,2,44.2,"3,723",1,no,no,no,3350000,Ahlsellvägen 18
59.35487924,18.09496209,Hjorthagen,2,44.2,"3,723",3,no,,,3300000,Ahlsellvägen 20
59.35489808,18.09470666,Hjorthagen,2,44.2,"3,723",0.5,no,no,no,3125000,Ahlsellvägen 22
59.35427659,18.09668549,Hjorthagen,2,44.2,"3,723",3,no,,,3650000,Ahlsellvägen 4
59.35425505,18.09697326,Hjorthagen,1,24,"2,494",,no,,yes,2665000,Ahlsellvägen 6
59.35446925,18.09662783,Hjorthagen,2,44,"3,723",3,no,,,3600000,Ahlsellvägen 8
59.30304688,18.10555636,Hammarby sjöstad,2,70,"5,838",1,yes,,,5900000,Aktergatan 21
59.30302001,18.10609959,Hammarby sjöstad,1,31,"3,071",1,yes,no,no,2495000,Aktergatan 22
59.30302001,18.10609959,Hammarby sjöstad,2,45,"4,126",2,yes,,yes,3910000,Aktergatan 22
59.3031692,18.1058984,Hammarby sjöstad,3,87,"6,324",,no,,,8300000,Aktergatan 27
59.30210778,18.10418873,Hammarby sjöstad,3,67,"3,316",3,yes,no,yes,5400000,Aktergatan 5
59.30223545,18.10435599,Hammarby sjöstad,2,67.5,"3,340",3,no,,,5000000,Aktergatan 9
59.30223545,18.10435599,Hammarby sjöstad,2,48.5,"2,400",4,yes,,yes,3830000,Aktergatan 9
59.30223545,18.10435599,Hammarby sjöstad,2,67.5,"3,340",5,yes,no,yes,4695000,Aktergatan 9
59.30223545,18.10435599,Hammarby sjöstad,2,48.5,"2,400",,yes,,yes,4200000,Aktergatan 9
59.30962174,18.07417091,Södermalm,3,58,"3,828",1,yes,,,5800000,Allhelgonagatan 10
59.30962174,18.07417091,Södermalm,3,97,"6,174",3,yes,,yes,10850000,Allhelgonagatan 10
59.30987369,18.07441261,Södermalm,3,75,"3,502",1.5,yes,no,yes,7950000,Allhelgonagatan 15
59.30987369,18.07441261,Södermalm,2,57,"2,486",2,yes,no,no,5500000,Allhelgonagatan 15
59.30987369,18.07441261,Södermalm,3,74,"3,537",2,yes,no,yes,7950000,Allhelgonagatan 15
59.30987369,18.07441261,Södermalm,3,74,"3,571",3,yes,no,yes,7850000,Allhelgonagatan 15
59.30967267,18.07319443,Södermalm,1,31,"1,308",1,no,,,2900000,Allhelgonagatan 7
59.30967267,18.07319443,Södermalm,2.5,60,"2,370",1.5,yes,no,no,5505000,Allhelgonagatan 7
59.30967267,18.07319443,Södermalm,1.5,54,"2,154",2,yes,,no,5000000,Allhelgonagatan 7
59.30967267,18.07319443,Södermalm,2,60,"2,612",2,no,,,5450000,Allhelgonagatan 7
59.30967267,18.07319443,Södermalm,2.5,63,"2,574",2,yes,,yes,6365000,Allhelgonagatan 7
59.30957393,18.07380184,Södermalm,3,87,"5,233",5,yes,no,yes,9100000,Allhelgonagatan 8
59.31189855,18.10003181,Södermalm,3,81.5,"4,806",2,yes,,yes,7100000,Alsnögatan 24
59.31189855,18.10003181,Södermalm,1.5,34.5,"3,070",4,yes,,yes,3250000,Alsnögatan 24
59.3121438,18.10104736,Södermalm,2,49.3,"3,162",0,yes,no,yes,3800000,Alsnögatan 30
59.32231286,17.95555603,Östermalm,1,19,0,2,,,,2030000,Ålstensgatan 26
59.3361407,18.02922859,Kungsholmen,2,63.4,"4,744",3,yes,no,yes,5225000,Alströmergatan 18
59.33564635,18.0304728,Kungsholmen,3,57.5,"2,448",6,no,,yes,5600000,Alströmergatan 21
59.33564635,18.0304728,Kungsholmen,3,73.5,"2,918",7,yes,,yes,7425000,Alströmergatan 21
59.33549776,18.03037435,Kungsholmen,2,39,"1,838",3,yes,no,yes,4250000,Alströmergatan 23
59.33532925,18.03027786,Kungsholmen,3,74.5,"3,036",4,yes,no,yes,8210000,Alströmergatan 25
59.33532925,18.03027786,Kungsholmen,3,74.5,"3,054",5,yes,,yes,7850000,Alströmergatan 25
59.33532925,18.03027786,Kungsholmen,3,74.5,"3,075",6,yes,,yes,7450000,Alströmergatan 25
59.33532925,18.03027786,Kungsholmen,2,63,"2,555",7,yes,,yes,7075000,Alströmergatan 25
